2013 rank,City,State,2013 estimate,2010 Census,Change,sq mi,2013 pop density (/sq mi),state_id
1,New York,New York,8405837,8175133,2.82,302.6,27012,32
2,Los Angeles,California,3884307,3792621,2.42,468.7,8092,5
3,Chicago,Illinois,2718782,2695598,0.86,227.6,11842,13
4,Houston,Texas,2195914,2100263,4.55,599.6,3501,43
5,Philadelphia,Pennsylvania,1553165,1526006,1.78,134.1,11379,38
6,Phoenix,Arizona,1513367,1445632,4.69,516.7,2798,3
7,San Antonio,Texas,1409019,1327407,6.15,460.9,2880,43
8,San Diego,California,1355896,1307402,3.71,325.2,4020,5
9,Dallas,Texas,1257676,1197816,5,340.5,3518,43
10,San Jose,California,998537,945942,5.56,176.5,5359,5
11,Austin,Texas,885400,790390,12.02,297.9,2653,43
12,Indianapolis,Indiana,843393,820445,2.8,361.4,2270,14
13,Jacksonville,Florida,842583,821784,2.53,747,1120,9
14,San Francisco,California,837442,805235,4,46.9,17179,5
15,Columbus,Ohio,822553,787033,4.51,217.2,3624,35
16,Charlotte,North Carolina,792862,731424,8.4,297.7,2457,33
17,Fort Worth,Texas,792727,741206,6.95,339.8,2181,43
18,Detroit,Michigan,688701,713777,−3.51,138.8,5144,22
19,El Paso,Texas,674433,649121,3.9,255.2,2543,43
20,Memphis,Tennessee,653450,646889,1.01,315.1,2053,42
21,Seattle,Washington,652405,608660,7.19,83.9,7251,47
22,Denver,Colorado,649495,600158,8.22,153,3923,6
23,Washington,District of Columbia,646449,601723,7.43,61,9856,51
24,Boston,Massachusetts,645966,617594,4.59,48.3,12793,21
25,Nashville,Tennessee,634464,601222,5.53,475.1,1265,42
26,Baltimore,Maryland,622104,620961,0.18,80.9,7672,20
27,Oklahoma City,Oklahoma,610613,579999,5.28,606.4,956,36
28,Louisville,Kentucky,609893,597337,2.1,325.2,1837,17
29,Portland,Oregon,609456,583776,4.4,133.4,4375,37
30,Las Vegas,Nevada,603488,583756,3.38,135.8,4298,28
31,Milwaukee,Wisconsin,599164,594833,0.73,96.1,6188,49
32,Albuquerque,New Mexico,556495,545852,1.95,187.7,2908,31
33,Tucson,Arizona,526116,520116,1.15,226.7,2294,3
34,Fresno,California,509924,494665,3.08,112,4418,5
35,Sacramento,California,479686,466488,2.83,97.9,4764,5
