Arizona Cardinals,Bruce Arians
Atlanta Falcons,Mike Smith
Baltimore Ravens,John Harbaugh
Buffalo Bills,Doug Marrone  
Carolina Panthers,Ron Rivera
Chicago Bears,Marc Trestman
Cincinnati Bengals,Marvin Lewis
Cleveland Browns,Mike Pettine  
Dallas Cowboys,Jason Garrett
Denver Broncos,John Fox
Detroit Lions,Jim Caldwell
Green Bay Packers,Mike McCarthy
Houston Texans,Bill O'Brien  
Indianapolis Colts,Chuck Pagano
Jacksonville Jaguars,Gus Bradley
Kansas City Chiefs,Andy Reid 
Miami Dolphins,Joe Philbin
Minnesota Vikings,Mike Zimmer 
New England Patriots,Bill Belichick
New Orleans Saints,Sean Payton
New York Giants,Tom Coughlin
New York Jets,Rex Ryan
Oakland Raiders,Tony Sparano
Philadelphia Eagles,Chip Kelly
Pittsburgh Steelers,Mike Tomlin
San Diego Chargers,Mike McCoy
San Francisco 49ers,Jim Harbaugh
Seattle Seahawks,Pete Carroll
St. Louis Rams,Jeff Fisher
Tampa Bay Buccaneers,Lovie Smith
Tennessee Titans,Ken Whisenhunt
Washington Redskins,Jay Gruden
