week,home_team_id,home_score,visiting_team_id,visitors_score,point_spread
1,29,36,21,16,-5
1,24,20,2,23,-3
1,14,10,12,26,-3
1,3,33,1,20,4
1,18,34,11,17,-10
1,27,37,26,34,3
1,4,19,16,14,-6.5
1,32,6,23,34,-3
1,7,16,6,23,-1
1,5,30,8,27,-6
1,10,17,20,6,-3
1,28,14,25,20,-4.5
1,17,17,31,28,3.5
1,13,31,9,24,-8.5
1,22,35,19,14,-6.5
1,30,18,15,17,-3
2,7,26,5,6,-2.5
2,6,24,27,10,-5.5
2,2,29,3,10,-1
2,8,26,26,24,6
2,19,14,30,25,-2
2,25,24,22,7,-1.5
2,20,41,11,10,-5
2,12,10,17,26,-3.5
2,23,7,1,30,3
2,28,17,32,19,-4.5
2,15,30,29,21,5
2,13,24,14,17,-13
2,21,31,4,24,-7.5
2,16,14,10,30,3
2,31,20,24,28,-7
2,9,27,18,30,-3
3,27,56,28,14,-6.5
3,6,33,12,7,-6.5
3,2,10,15,22,-2.5
3,8,21,7,23,1.5
3,18,37,20,34,-4
3,19,30,10,17,-1
3,11,17,9,44,6.5
3,22,19,21,7,-1.5
3,1,16,16,9,-14
3,32,31,17,34,2
3,26,20,23,9,-10
3,30,23,31,14,3
3,3,15,14,34,-5.5
3,29,26,13,20,-4.5
3,25,19,5,37,-3
3,4,19,24,27,-1.5
4,20,14,19,45,-3
4,24,17,21,38,2
4,9,41,12,17,-7.5
4,4,17,22,24,-1.5
4,16,14,3,38,4
4,7,38,25,10,-3
4,5,24,28,27,-7.5
4,10,23,2,17,-3
4,15,33,11,14,-12
4,31,26,18,21,-4
4,23,41,27,28,6
4,17,38,26,17,3
4,14,41,1,14,3
5,21,42,23,10,-9.5
5,9,20,7,13,-3
5,17,20,10,17,-5.5
5,18,34,32,28,-4
5,19,30,27,20,-4
5,11,9,5,17,6
5,22,14,2,17,-5
5,25,31,24,24,-1.5
5,26,37,28,31,-11
5,12,28,8,29,1
5,13,41,30,20,-8.5
5,31,22,14,17,-5
5,15,31,4,0,-7
5,1,43,6,17,2.5
5,20,17,29,27,7
6,10,28,9,33,2.5
6,6,37,25,37,-7
6,2,22,1,37,0
6,8,31,5,10,-2
6,28,17,7,48,3.5
6,3,24,21,27,2
6,27,13,24,27,-3.5
6,4,17,13,31,10
6,12,16,11,14,-4
6,23,3,22,17,-1.5
6,16,28,15,31,7.5
6,30,30,20,20,-5.5
6,29,23,17,30,-9.5
6,18,27,19,0,-1.5
6,32,17,31,31,3.5
7,1,27,4,25,-9.5
7,24,14,3,27,-3
7,2,17,23,16,-6.5
7,9,27,6,0,-3.5
7,11,24,8,6,4.5
7,22,24,26,23,-1.5
7,21,38,25,17,-6.5
7,32,28,29,26,6.5
7,7,29,27,7,-7
7,20,19,12,17,-6
7,15,20,14,23,-3
7,17,31,19,21,-5.5
7,16,13,30,24,3.5
7,13,42,31,17,-6.5
7,5,30,10,23,-3
8,13,35,15,21,-9
8,6,27,7,24,3
8,28,13,23,19,-1.5
8,14,34,32,7,-7
8,27,21,22,22,3.5
8,11,13,3,27,6.5
8,4,23,2,43,-3
8,25,9,29,13,6
8,1,51,24,23,-6
8,12,16,10,30,3.5
8,30,24,18,20,1
8,8,23,16,13,-6.5
8,5,51,9,34,4.5
8,26,44,21,23,-2
8,17,17,20,20,-9.5
9,25,10,26,28,3
9,6,33,11,23,-10
9,8,22,28,17,-7
9,14,24,4,10,-8.5
9,17,17,30,28,-1.5
9,3,37,15,0,-2.5
9,10,21,18,31,2
9,23,29,20,26,0
9,31,10,32,13,-10.5
9,1,43,13,21,3
9,29,30,16,24,-13.5
9,5,43,7,23,-10.5
9,19,24,9,40,3
10,6,3,8,24,-6.5
10,2,13,14,17,-1.5
10,28,17,27,27,3
10,11,17,17,31,7.5
10,4,20,5,13,4.5
10,22,20,3,16,-3
10,7,21,12,7,-10.5
10,26,24,31,27,-5.5
10,16,17,13,41,12.5
10,30,31,32,14,-7
10,29,38,19,17,-9.5
10,21,55,24,14,-9.5
10,18,45,25,21,-7
11,3,22,2,9,-4
11,24,21,23,13,-2.5
11,8,7,10,23,-4
11,14,24,29,20,1
11,19,10,31,16,4
11,21,53,18,20,-5.5
11,25,17,27,19,2.5
11,32,22,13,7,9
11,20,7,28,27,-7
11,26,10,6,27,-8
11,15,13,16,6,-10
11,30,14,22,6,1.5
11,9,20,1,42,-3
11,12,24,5,27,7
12,16,24,14,20,7.5
12,24,21,28,13,-4.5
12,2,38,4,3,-2.5
12,9,23,11,3,-13.5
12,18,43,12,24,11.5
12,27,24,8,26,-2.5
12,1,34,22,9,-7
12,10,13,6,22,-2.5
12,23,21,21,24,8
12,15,27,32,24,-5
12,29,19,30,3,-7.5
12,31,17,20,13,-9.5
12,13,39,3,36,-6.5
12,19,28,17,31,4.5
12,26,27,7,34,-3
13,17,10,18,33,-3.5
13,31,3,29,19,-1.5
13,22,34,24,17,-7
13,2,26,8,10,-3
13,28,13,6,14,6
13,9,49,20,27,-8
13,11,25,19,24,3
13,32,52,16,0,-6
13,7,33,15,34,-6.5
13,5,32,26,35,-3.5
13,10,45,12,21,-7
13,23,31,25,13,-2.5
13,27,29,30,18,1.5
13,21,26,1,21,-3
13,14,16,13,29,0
13,4,13,3,16,7
14,24,28,17,41,3.5
14,6,21,5,42,-3
14,8,24,9,25,3
14,3,13,7,28,-3
14,11,13,10,27,6.5
14,22,34,28,17,-10.5
14,20,0,32,24,3
14,26,10,25,41,-9.5
14,12,7,19,36,3
14,23,30,4,24,-4
14,13,24,2,17,-9
14,30,17,14,14,2.5
14,18,14,29,24,1.5
14,16,24,31,13,8.5
14,15,14,1,23,4
14,21,43,27,37,-13.5
15,32,6,30,12,-6
15,2,21,21,13,3.5
15,8,0,6,30,2
15,14,31,16,13,-11
15,9,17,10,10,-7
15,27,20,5,27,3
15,19,24,20,13,-7
15,22,16,23,14,-8
15,25,19,28,17,-3.5
15,1,41,3,13,-9
15,7,20,11,12,-14
15,15,10,13,22,4
15,12,11,4,16,3
15,29,17,31,7,-9.5
15,18,27,17,38,-3.5
15,24,15,26,31,3.5
16,11,21,12,13,-4.5
16,31,35,15,38,-1.5
16,20,27,18,24,7
16,24,14,22,20,10
16,28,3,21,20,11.5
16,3,37,23,35,-4.5
16,4,16,1,17,9.5
16,25,17,8,13,-6
16,26,14,27,30,-6
16,5,20,14,12,-2.5
16,10,25,7,13,6.5
16,32,27,19,37,-6.5
16,17,42,9,7,-3.5
16,16,26,2,24,6.5
16,30,6,29,35,9.5
16,6,37,13,28,3.5
17,28,20,26,23,6
17,14,19,15,7,-3
17,3,24,4,37,-7
