id,name,abbreviation,capital,most populous city,population,square miles
1,ALABAMA,AL,Montgomery,Birmingham,4708708,52423
2,ALASKA,AK,Juneau,Anchorage,698473,656425
3,ARIZONA,AZ,Phoenix,Phoenix,6595778,114006
4,ARKANSAS,AR,Little Rock,Little Rock,2889450,53182
5,CALIFORNIA,CA,Sacramento,Los Angeles,36961664,163707
6,COLORADO,CO,Denver,Denver,5024748,104100
7,CONNECTICUT,CT,Hartford,Bridgeport,3518288,5544
8,DELAWARE,DE,Dover,Wilmington,885122,1954
9,FLORIDA,FL,Tallahassee,Jacksonville,18537969,65758
10,GEORGIA,GA,Atlanta,Atlanta,9829211,59441
11,HAWAII,HI,Honolulu,Honolulu,1295178,10932
12,IDAHO,ID,Boise,Boise,1545801,83574
13,ILLINOIS,IL,Springfield,Chicago,12910409,57918
14,INDIANA,IN,Indianapolis,Indianapolis,6423113,36420
15,IOWA,IA,Des Moines,Des Moines,3007856,56276
16,KANSAS,KS,Topeka,Wichita,2818747,82282
17,KENTUCKY,KY,Frankfort,Louisville,4314113,40411
18,LOUISIANA,LA,Baton Rouge,New Orleans,4492076,51843
19,MAINE,ME,Augusta,Portland,1318301,35387
20,MARYLAND,MD,Annapolis,Baltimore,5699478,12407
21,MASSACHUSETTS,MA,Boston,Boston,6593587,10555
22,MICHIGAN,MI,Lansing,Detroit,9969727,96810
23,MINNESOTA,MN,Saint Paul,Minneapolis,5266214,86943
24,MISSISSIPPI,MS,Jackson,Jackson,2951996,48434
25,MISSOURI,MO,Jefferson City,Kansas City,5987580,69709
26,MONTANA,MT,Helena,Billings,974989,147046
27,NEBRASKA,NE,Lincoln,Omaha,1796619,77358
28,NEVADA,NV,Carson City,Las Vegas,2643085,110567
29,NEW HAMPSHIRE,NH,Concord,Machester,1324575,9351
30,NEW JERSEY,NJ,Trenton,Newark,8707739,8722
31,NEW MEXICO,NM,Santa Fe,Albuquerque,2009671,121593
32,NEW YORK,NY,Albany,New York,19541453,54475
33,NORTH CAROLINA,NC,Raleigh,Charlotte,9380884,53821
34,NORTH DAKOTA,ND,Bismarck,Fargo,646844,70704
35,OHIO,OH,Columbus,Columbus,11542645,44828
36,OKLAHOMA,OK,Oklahoma City,Oklahoma City,3687050,69903
37,OREGON,OR,Salem,Portland,3825657,98386
38,PENNSYLVANIA,PA,Harrisburg,Philadelphia,12604767,46058
39,RHODE ISLAND,RI,Providence,Providence,1053209,1545
40,SOUTH CAROLINA,SC,Columbia,Columbia,4561242,32007
41,SOUTH DAKOTA,SD,Pierre,Sioux Falls,812383,77121
42,TENNESSEE,TN,Nashville,Memphis,6296254,42146
43,TEXAS,TX,Austin,Houston,24782302,268601
44,UTAH,UT,Salt Lake City,Salt Lake City,2784572,84904
45,VERMONT,VT,Montpelier,Burlington,621760,9615
46,VIRGINIA,VA,Richmond,Virginia Beach,7882590,42769
47,WASHINGTON,WA,Olympia,Seattle,6664195,71303
48,WEST VIRGINIA,WV,Charleston,Charleston,1819777,24231
49,WISCONSIN,WI,Madison,Milwaukee,5654774,65503
50,WYOMING,WY,Cheyenne,Cheyenne,544270,97818
51,DISTRICT OF COLUMBIA,DC,Washington,Washington,601723,68
